img_name,silh_x1,silh_y1,silh_x2,silh_y2,faceimg_name,face_x1,face_y1,face_x2,face_y2
13_Interview_Interview_2_People_Visible_13_1013.jpg,369,173,864,683,face0.png,166,48,347,290
13_Interview_Interview_2_People_Visible_13_1013.jpg,14,6,406,684,face1.png,149,70,288,274
13_Interview_Interview_2_People_Visible_13_102.jpg,277,85,937,660,face2.png,182,59,333,282
13_Interview_Interview_2_People_Visible_13_102.jpg,241,260,267,334,face3.png,0,1,23,40
13_Interview_Interview_2_People_Visible_13_102.jpg,26,8,313,654,face4.png,6,61,139,440
13_Interview_Interview_2_People_Visible_13_102.jpg,3,0,184,671,face5.png,25,105,142,430
13_Interview_Interview_2_People_Visible_13_102.jpg,576,112,1020,665,face6.png,21,90,77,205
13_Interview_Interview_2_People_Visible_13_102.jpg,107,594,327,665,face7.png,98,8,194,67
13_Interview_Interview_2_People_Visible_13_105.jpg,183,0,970,677,face8.png,247,41,486,401
13_Interview_Interview_2_People_Visible_13_105.jpg,40,94,247,324,face9.png,20,18,201,211
13_Interview_Interview_2_People_Visible_13_105.jpg,0,36,477,626,face10.png,414,37,477,281
13_Interview_Interview_2_People_Visible_13_105.jpg,0,36,477,626,face11.png,22,11,259,291
13_Interview_Interview_2_People_Visible_13_132.jpg,29,31,455,457,face12.png,162,23,328,272
13_Interview_Interview_2_People_Visible_13_132.jpg,29,31,455,457,face13.png,330,23,416,232
13_Interview_Interview_2_People_Visible_13_132.jpg,334,20,697,453,face14.png,28,16,166,264
13_Interview_Interview_2_People_Visible_13_144.jpg,20,13,677,761,face15.png,354,11,657,647
13_Interview_Interview_2_People_Visible_13_144.jpg,651,19,1010,762,face16.png,28,15,219,427
13_Interview_Interview_2_People_Visible_13_155.jpg,0,49,961,1023,face17.png,348,121,668,599
13_Interview_Interview_2_People_Visible_13_167.jpg,291,49,977,554,face18.png,269,29,356,138
13_Interview_Interview_2_People_Visible_13_167.jpg,291,49,977,554,face19.png,450,0,533,87
13_Interview_Interview_2_People_Visible_13_167.jpg,26,94,429,553,face20.png,97,36,182,156
13_Interview_Interview_2_People_Visible_13_170.jpg,195,53,847,569,face21.png,254,35,428,299
13_Interview_Interview_2_People_Visible_13_182.jpg,239,88,784,574,face22.png,174,56,338,294
13_Interview_Interview_2_People_Visible_13_186.jpg,275,67,899,646,face23.png,248,85,414,343
13_Interview_Interview_2_People_Visible_13_196.jpg,181,76,649,511,face24.png,171,124,362,384
13_Interview_Interview_2_People_Visible_13_196.jpg,662,74,992,466,face25.png,23,157,165,297
13_Interview_Interview_2_People_Visible_13_196.jpg,662,74,992,466,face26.png,16,60,213,252
13_Interview_Interview_2_People_Visible_13_204.jpg,187,40,764,598,face27.png,265,96,416,306
13_Interview_Interview_2_People_Visible_13_22.jpg,365,54,973,569,face28.png,319,69,386,202
13_Interview_Interview_2_People_Visible_13_22.jpg,0,98,332,574,face29.png,193,28,266,137
13_Interview_Interview_2_People_Visible_13_222.jpg,0,158,1008,755,face30.png,327,61,612,453
13_Interview_Interview_2_People_Visible_13_230.jpg,748,294,1023,734,face31.png,43,57,127,181
13_Interview_Interview_2_People_Visible_13_230.jpg,25,61,995,1009,face32.png,366,67,595,414
13_Interview_Interview_2_People_Visible_13_230.jpg,25,61,995,1009,face33.png,766,270,857,400
13_Interview_Interview_2_People_Visible_13_230.jpg,25,61,995,1009,face34.png,107,357,187,469
13_Interview_Interview_2_People_Visible_13_230.jpg,22,392,220,686,face35.png,108,32,189,145
13_Interview_Interview_2_People_Visible_13_237.jpg,363,128,837,680,face36.png,181,33,286,182
13_Interview_Interview_2_People_Visible_13_240.jpg,645,170,983,559,face37.png,75,17,136,115
13_Interview_Interview_2_People_Visible_13_240.jpg,645,170,983,559,face38.png,129,236,222,336
13_Interview_Interview_2_People_Visible_13_240.jpg,90,138,388,558,face39.png,129,45,197,134
13_Interview_Interview_2_People_Visible_13_241.jpg,266,16,753,570,face40.png,157,71,291,270
